Title,Director,Rating,Cast,Votes
The Rock,Michael Bay,7.4,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer",358651
Shrek the Third,Chris Miller,6.1,"Raman Hui, Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",333153
Red Sparrow,Francis Lawrence,6.6,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling",201901
Sherlock Holmes,Guy Ritchie,7.6,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",672016
Contagion,Steven Soderbergh,6.8,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow",316406
Death Race,Paul W.S. Anderson,6.4,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane",219230
Scent of a Woman,Martin Brest,8.0,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar",329702
Crash,David Cronenberg,6.4,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger",66478
The Autopsy of Jane Doe,André Øvredal,6.8,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",139907
Snowpiercer,Bong Joon Ho,7.1,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",389628
Friday the 13th,Sean S. Cunningham,6.4,"Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan",157747
El Dorado,Howard Hawks,7.5,"John Wayne, Robert Mitchum, James Caan, Charlene Holt",30496
Soul,Pete Docter,8.0,"Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton, Rachel House",380926
Girls Trip,Malcolm D. Lee,6.2,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish",40603
Yesterday,Danny Boyle,6.8,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell",168074
Below Her Mouth,April Mullen,5.5,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen",14340
Edward Scissorhands,Tim Burton,7.9,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall",524739
Indiana Jones and the Temple of Doom,Steven Spielberg,7.5,"Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri",536075
Gone Baby Gone,Ben Affleck,7.6,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan",293489
Spy Kids,Robert Rodriguez,5.6,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",127534
The Ballad of Buster Scruggs,Ethan Coen,7.2,"Joel Coen, Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy",168554
The House That Jack Built,Lars von Trier,6.8,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan",92353
Tremors,Ron Underwood,7.2,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross",150894
Widows,Steve McQueen,6.8,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki",104248
The Marsh King's Daughter,Neil Burger,5.9,"Daisy Ridley, Ben Mendelsohn, Brooklynn Prince, Gil Birmingham",10130
Shichinin no samurai,Akira Kurosawa,8.6,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",367380
Ultimo tango a Parigi,Bernardo Bertolucci,6.9,"Marlon Brando, Maria Schneider, Maria Michi, Giovanna Galletti",58473
The Meg,Jon Turteltaub,5.7,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",207938
Billy Madison,Tamra Davis,6.4,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",156884
Mortal Kombat,Paul W.S. Anderson,5.8,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",124773
Kuolleet lehdet,Aki Kaurismäki,7.3,"Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen, Nuppu Koivu",23917
El hoyo,Galder Gaztelu-Urrutia,7.0,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale",273561
Malignant,James Wan,6.2,"Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White",109664
Mary Poppins,Robert Stevenson,7.8,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns",186306
Transformers: Revenge of the Fallen,Michael Bay,6.0,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",429049
The Bad Guys,Pierre Perifel,6.8,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson",59380
The Road,John Hillcoat,7.2,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall",254582
The Giver,Phillip Noyce,6.4,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",125753
Rampage,Brad Peyton,6.1,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",185446
Willow,Ron Howard,7.2,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh",130082
Pet Sematary,Mary Lambert,6.5,"Dale Midkiff, Denise Crosby, Fred Gwynne, Brad Greenquist",115246
Resident Evil,Paul W.S. Anderson,6.6,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce",288969
Min anoigeis tin porta,Alexandros Karpas,6.7,"Sakis Karpas, Sakis Karpas, Foteini Levogianni",8115
Henry V,Kenneth Branagh,7.5,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin",31698
The Nun,Corin Hardy,5.3,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",170897
Jersey Boys,Clint Eastwood,6.8,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza",36705
The Mummy,Alex Kurtzman,5.4,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",206552
Black Panther: Wakanda Forever,Ryan Coogler,6.7,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke",306579
In Bruges,Martin McDonagh,7.9,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington",462167
Jawan,Atlee,7.0,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone",95178
Couples Retreat,Peter Billingsley,5.5,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",114992
Malayalee from India,Dijo Jose Antony,6.1,"Nivin Pauly, Anaswara Rajan, Dhyan Sreenivasan, Deepak Jethi",3914
12 Years a Slave,Steve McQueen,8.1,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",742226
Teenage Mutant Ninja Turtles,Steve Barron,6.8,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",104984
Jerry & Marge Go Large,David Frankel,6.9,"Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore",25096
"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,6.7,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer",103674
Alien Resurrection,Jean-Pierre Jeunet,6.2,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",263919
The Addams Family,Barry Sonnenfeld,6.9,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya",180300
Law Abiding Citizen,F. Gary Gray,7.4,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney",320448
La pianiste,Michael Haneke,7.5,"Isabelle Huppert, Annie Girardot, Benoît Magimel, Susanne Lothar",72027
After We Collided,Roger Kumble,5.0,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard",38473
Batman & Robin,Joel Schumacher,3.8,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",268458
Fifty Shades Freed,James Foley,4.5,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",74342
Bitter Moon,Roman Polanski,7.2,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner, Peter Coyote",42792
How to Be Single,Christian Ditter,6.1,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",94485
Blood Diamond,Edward Zwick,8.0,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",587065
Near Dark,Kathryn Bigelow,6.9,"Adrian Pasdar, Jenny Wright, Lance Henriksen, Bill Paxton",44918
3 Ninjas,Jon Turteltaub,5.3,"Victor Wong, Michael Treanor, Max Elliott Slade, Chad Power",23332
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Cathy Yan,6.1,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett",265140
Close Encounters of the Third Kind,Steven Spielberg,7.6,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",217269
Joy,David O. Russell,6.6,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",145827
Cloverfield,Matt Reeves,7.0,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",421290
Ice Age,Chris Wedge,7.5,"Carlos Saldanha, Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic",520095
Patriot Games,Phillip Noyce,6.8,"Harrison Ford, Sean Bean, Anne Archer, Patrick Bergin",120655
Old Dads,Bill Burr,6.2,"Bill Burr, Bobby Cannavale, Bokeem Woodbine, Katie Aselton",40042
Collateral,Michael Mann,7.5,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",433845
Romeo and Juliet,Franco Zeffirelli,7.6,"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea",34830
The Adam Project,Shawn Levy,6.7,"Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner",232214
Final Destination,James Wong,6.7,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",280106
Piranha 3D,Alexandre Aja,5.5,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames",96808
Amsterdam,David O. Russell,6.1,"Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola",93667
No One Will Save You,Brian Duffield,6.3,"Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray",65826
The Lair of the White Worm,Ken Russell,6.0,"Amanda Donohoe, Hugh Grant, Catherine Oxenberg, Peter Capaldi",15169
Doctor Strange,Scott Derrickson,7.5,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",806624
Captain America: The Winter Soldier,Anthony Russo,7.7,"Joe Russo, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",900477
The Little Rascals,Penelope Spheeris,6.3,"Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods",56318
Conan the Destroyer,Richard Fleischer,5.9,"Arnold Schwarzenegger, Grace Jones, Olivia d'Abo, Wilt Chamberlain",85455
Limitless,Neil Burger,7.4,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",613179
Big Hero 6,Don Hall,7.8,"Chris Williams, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",503362
Monty Python and the Holy Grail,Terry Gilliam,8.2,"Terry Jones, Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",570977
Chicago,Rob Marshall,7.2,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs",243655
Iron Man 2,Jon Favreau,6.9,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",870023
Immortals,Tarsem Singh,6.0,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",176613
Black Adam,Jaume Collet-Serra,6.2,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo",274729
Terms of Endearment,James L. Brooks,7.4,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito",65617
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,6.6,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",503943
Lilo & Stitch,Dean DeBlois,7.3,"Chris Sanders, Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",212166
Ted,Seth MacFarlane,6.9,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",658576
Hostel,Eli Roth,5.9,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",191252
The Naked Gun: From the Files of Police Squad!,David Zucker,7.6,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban",185439
Eden Lake,James Watkins,6.7,"Kelly Reilly, Michael Fassbender, Tara Ellis, Jack O'Connell",95097
Ace Ventura: Pet Detective,Tom Shadyac,6.9,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc",325712
Blade,Stephen Norrington,7.1,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",299576
"Are You There God? It's Me, Margaret.",Kelly Fremon Craig,7.3,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie",27827
The Secret Life of Walter Mitty,Ben Stiller,7.3,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",341524
The Other Guys,Adam McKay,6.6,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",288818
Lawless,John Hillcoat,7.2,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",253717
Dark City,Alex Proyas,7.6,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt",212609
The Boy Next Door,Rob Cohen,4.7,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",45574
Tarzan,Chris Buck,7.3,"Kevin Lima, Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close",247746
The Longest Ride,George Tillman Jr.,7.0,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",89037
La piel que habito,Pedro Almodóvar,7.6,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes",166210
Heart of Stone,Tom Harper,5.7,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",59538
Fast & Furious Presents: Hobbs & Shaw,David Leitch,6.5,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",236489
Jules,Marc Turtletaub,6.8,"Ben Kingsley, Harriet Sansom Harris, Jane Curtin, Teddy Cañez",10954
Identity,James Mangold,7.3,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",267719
Godzilla,Roland Emmerich,5.4,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",203930
Flash Gordon,Mike Hodges,6.5,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol",61659
Venom: Let There Be Carnage,Andy Serkis,5.9,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris",259599
Spider-Man: Far from Home,Jon Watts,7.4,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei",558528
You've Got Mail,Nora Ephron,6.7,"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey",230034
Pacific Rim,Guillermo del Toro,6.9,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",531676
The Lost World: Jurassic Park,Steven Spielberg,6.5,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn",444768
Groundhog Day,Harold Ramis,8.0,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",686261
Underwater,William Eubank,5.9,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller",97559
The Incredible Hulk,Louis Leterrier,6.6,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",524213
Anchorman: The Legend of Ron Burgundy,Adam McKay,7.1,"Will Ferrell, Christina Applegate, Steve Carell, Paul Rudd",379065
What We Do in the Shadows,Jemaine Clement,7.6,"Taika Waititi, Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh",200646
The Strangers: Prey at Night,Johannes Roberts,5.2,"Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman",34886
Against All Odds,Taylor Hackford,5.9,"Rachel Ward, Jeff Bridges, James Woods, Alex Karras",13770
Annie,John Huston,6.6,"Aileen Quinn, Albert Finney, Carol Burnett, Ann Reinking",49592
Venom,Ruben Fleischer,6.6,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",539481
Gypsy,Mervyn LeRoy,7.1,"Rosalind Russell, Natalie Wood, Karl Malden, Paul Wallace",7027
High Strung,Michael Damian,6.3,"Keenan Kampa, Nicholas Galitzine, Sonoya Mizuno, Jane Seymour",10308
Never Let Me Go,Mark Romanek,7.1,"Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small",153457
Project X,Nima Nourizadeh,6.7,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",233891
The Death of Stalin,Armando Iannucci,7.3,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough",113762
Lone Survivor,Peter Berg,7.5,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",307087
Jerry Maguire,Cameron Crowe,7.3,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston",287485
Bloodshot,Dave Wilson,5.7,"Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell",84960
Lion,Garth Davis,8.0,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",251602
It's a Wonderful Life,Frank Capra,8.6,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",499906
The Father,Florian Zeller,8.2,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams",193957
American Assassin,Michael Cuesta,6.2,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch",91197
The Power of the Dog,Jane Campion,6.8,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee",194192
To Die For,Gus Van Sant,6.8,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",53186
Metropolis,Fritz Lang,8.3,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge",185794
The Village,M. Night Shyamalan,6.6,"Sigourney Weaver, William Hurt, Joaquin Phoenix, Bryce Dallas Howard",278181
An Officer and a Gentleman,Taylor Hackford,7.1,"Richard Gere, Debra Winger, David Keith, Robert Loggia",62724
Ölümlü Dünya 2,Ali Atay,7.0,"Ali Seçkiner Alici, Giray Altinok, Sarp Apak, Dogu Demirkol",6848
American Hustle,David O. Russell,7.2,"Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence",500743
King Arthur: Legend of the Sword,Guy Ritchie,6.7,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",232953
8 Mile,Curtis Hanson,7.2,"Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer",321591
Nowhere,Albert Pintó,6.3,"Anna Castillo, Tamar Novas, Tony Corvillo, Mariam Torres",35957
End of Watch,David Ayer,7.6,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",269603
The Conjuring 2,James Wan,7.3,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",301187
Closer,Mike Nichols,7.2,"Natalie Portman, Jude Law, Clive Owen, Julia Roberts",236377
El Camino: A Breaking Bad Movie,Vince Gilligan,7.3,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",292670
The Hitman's Bodyguard,Patrick Hughes,6.9,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung",247535
Matilda: The Musical,Matthew Warchus,7.0,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham",28399
Secondhand Lions,Tim McCanlies,7.5,"Haley Joel Osment, Michael Caine, Robert Duvall, Kyra Sedgwick",61918
Remember Me,Allen Coulter,7.1,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Moisés Acevedo",155927
Live and Let Die,Guy Hamilton,6.7,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James",115636
Polar,Jonas Åkerlund,6.3,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren",99203
Argo,Ben Affleck,7.7,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",639734
Fear the Night,Neil LaBute,4.8,"Maggie Q, Ito Aghayere, Philip Burke, James Carpinello",3597
Crash,Paul Haggis,7.7,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave",449327
Killing Me Softly,Kaige Chen,5.4,"Heather Graham, Joseph Fiennes, Natascha McElhone, Ulrich Thomsen",19359
Triangle,Christopher Smith,6.9,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman",130155
Captain Marvel,Anna Boden,6.8,"Ryan Fleck, Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",611954
The Invisible Man,Leigh Whannell,7.1,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge",256231
Superhero Movie,Craig Mazin,4.7,"Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald",75791
Shrek Forever After,Mike Mitchell,6.3,"Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas",225049
Million Dollar Baby,Clint Eastwood,8.1,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel",722772
The Hobbit: The Battle of the Five Armies,Peter Jackson,7.4,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",572965
Citizen Kane,Orson Welles,8.3,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",466551
Shattered,Luis Prieto,5.0,"Cameron Monaghan, Sasha Luss, Ridley Asha Bateman, Lilly Krug",5638
Fried Green Tomatoes,Jon Avnet,7.7,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker",83873
Valerian and the City of a Thousand Planets,Luc Besson,6.4,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",197276
The Homesman,Tommy Lee Jones,6.6,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto",35826
Halloween,John Carpenter,7.7,"Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes",307316
GoldenEye,Martin Campbell,7.2,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",270479
The Fly,David Cronenberg,7.6,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",202379
Kung Fu Panda 2,Jennifer Yuh Nelson,7.3,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman",321867
The Wicker Man,Robin Hardy,7.5,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland",92566
Dirty Harry,Don Siegel,7.7,"Clint Eastwood, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni",168692
What's Eating Gilbert Grape,Lasse Hallström,7.7,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",254444
The Iceman,Ariel Vromen,6.8,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",79540
The Spiderwick Chronicles,Mark Waters,6.5,"Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker",102993
Hannibal,Ridley Scott,6.8,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",293630
The Faculty,Robert Rodriguez,6.6,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",135364
Reality,Tina Satter,6.7,"Sydney Sweeney, Josh Hamilton, Marchánt Davis, Benny Elledge",20891
Triple Frontier,J.C. Chandor,6.5,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund",146376
Renfield,Chris McKay,6.4,"Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz",96281
A Time to Kill,Joel Schumacher,7.5,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",182010
Deepwater Horizon,Peter Berg,7.1,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",182920
Io capitano,Matteo Garrone,7.6,"Seydou Sarr, Moustapha Fall, Issaka Sawadogo, Hichem Yacoubi",10537
The New Mutants,Josh Boone,5.3,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga",89795
This Is Where I Leave You,Shawn Levy,6.6,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver",89405
Mission: Impossible - Ghost Protocol,Brad Bird,7.4,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",529026
She's All That,Robert Iscove,5.9,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",103978
The Evil Dead,Sam Raimi,7.4,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker",232775
